NEWTESTFORUNA.csv,,,,,,,,,,,,,,,,,,,
DATE,TIME,Temp deg C,pH units,Depth m,SpCond uS/cm,Chl ug/l,pH mV,Int Batt V,CablePower V, , , , , , , , , , 
Eureka_Manta_2,V7.13,2193610,,,,,,,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,Chl_ug/l,pH_mV,Int_Batt_V,CablePower_V,,,,,,,,,,
6/12/2023,17:04:00,15.25,7.95,2.75,53510,1.08,-59.7,8.94,0.3,,,,,,,,,,
6/12/2023,17:05:00,15.24,7.95,2.7,53470,1.36,-59.6,8.96,0.3,,,,,,,,,,
6/12/2023,17:06:00,15.24,7.95,2.67,53520,0.87,-59.4,8.94,0.28,,,,,,,,,,
6/12/2023,17:07:00,15.24,7.95,2.64,53460,0.98,-59.3,8.96,0.28,,,,,,,,,,
6/12/2023,17:08:00,15.23,7.94,2.64,53480,0.68,-59.2,8.96,0.28,,,,,,,,,,
6/12/2023,17:09:00,15.23,7.94,2.62,53500,0.77,-59.3,8.93,0.28,,,,,,,,,,
6/12/2023,17:10:00,15.22,7.94,2.6,53430,0.69,-59.2,8.98,0.28,,,,,,,,,,
6/12/2023,17:11:00,15.22,7.94,2.59,53520,0.69,-59.1,8.98,0.28,,,,,,,,,,
6/12/2023,17:12:00,15.22,7.94,2.57,53440,0.65,-59.2,8.94,0.26,,,,,,,,,,
6/12/2023,17:13:00,15.21,7.94,2.56,53450,0.63,-59.1,8.98,0.28,,,,,,,,,,
6/12/2023,17:14:00,15.21,7.94,2.55,53540,0.55,-59.1,8.98,0.26,,,,,,,,,,
6/12/2023,17:15:00,15.21,7.94,2.56,53480,0.6,-59,8.96,0.26,,,,,,,,,,
6/12/2023,17:16:00,15.2,7.94,2.56,53510,0.53,-59.1,8.94,0.26,,,,,,,,,,
6/12/2023,17:17:00,15.2,7.94,2.53,53450,0.46,-59.1,8.96,0.26,,,,,,,,,,
6/12/2023,17:18:00,15.19,7.94,2.53,53510,0.5,-59,8.94,0.26,,,,,,,,,,
6/12/2023,17:19:00,15.19,7.94,2.53,53520,0.45,-59,8.94,0.25,,,,,,,,,,
6/12/2023,17:20:00,15.19,7.94,2.5,53470,0.42,-59,8.96,0.25,,,,,,,,,,
6/12/2023,17:21:00,15.19,7.94,2.52,53440,0.49,-58.9,8.93,0.26,,,,,,,,,,
6/12/2023,17:22:00,15.19,7.94,2.5,53540,0.39,-59,8.96,0.21,,,,,,,,,,
6/12/2023,17:23:00,15.18,7.94,2.48,53440,0.39,-58.9,8.93,0.25,,,,,,,,,,
6/12/2023,17:24:00,15.18,7.94,2.47,53470,0.4,-58.9,8.93,0.25,,,,,,,,,,
6/12/2023,17:25:00,15.18,7.94,2.48,53460,0.37,-58.9,8.96,0.25,,,,,,,,,,
6/12/2023,17:26:00,15.18,7.94,2.47,53530,0.32,-58.9,8.96,0.25,,,,,,,,,,
6/12/2023,17:27:00,15.18,7.94,2.46,53470,0.37,-58.9,8.93,0.25,,,,,,,,,,
6/12/2023,17:28:00,15.17,7.94,2.47,53520,0.32,-58.8,8.89,0.25,,,,,,,,,,
6/12/2023,17:29:00,15.17,7.93,2.46,53470,0.28,-58.8,8.91,0.25,,,,,,,,,,
6/12/2023,17:30:00,15.17,7.94,2.46,53460,0.28,-58.8,8.93,0.25,,,,,,,,,,
6/12/2023,17:31:00,15.17,7.93,2.44,53420,0.3,-58.8,8.94,0.23,,,,,,,,,,
6/12/2023,17:32:00,15.17,7.93,2.48,53500,0.36,-58.8,8.93,0.25,,,,,,,,,,
6/12/2023,17:33:00,15.17,7.94,2.46,53480,0.25,-58.8,8.89,0.23,,,,,,,,,,
6/12/2023,17:34:00,15.18,7.93,2.46,53480,0.27,-58.7,8.93,0.25,,,,,,,,,,
6/12/2023,17:35:00,15.18,7.93,2.48,53460,0.24,-58.7,8.91,0.25,,,,,,,,,,
6/12/2023,17:36:00,15.18,7.93,2.46,53480,0.24,-58.8,8.89,0.25,,,,,,,,,,
6/12/2023,17:37:00,15.18,7.93,2.46,53490,0.25,-58.7,8.93,0.25,,,,,,,,,,
